Dex Num,Name,Types,Abilities,HP,ATTACK,DEFENSE,S. ATTACK,S. DEFENSE,SPEED
#655,Delphox,"['fire', 'psychic']",Blaze Magician,75,69,72,114,100,104
#656,Froakie,['water'],Torrent Protean,41,56,40,62,44,71
#657,Frogadier,['water'],Torrent Protean,54,63,52,83,56,97
#658,Greninja,"['water', 'dark']",Torrent Protean,72,95,67,103,71,122
#659,Bunnelby,['normal'],Pickup Cheek Pouch Huge Power,38,36,38,32,36,57
#660,Diggersby,"['normal', 'ground']",Pickup Cheek Pouch Huge Power,85,56,77,50,77,78
#661,Fletchling,"['normal', 'flying']",Big Pecks Gale Wings,45,50,43,40,38,62
#662,Fletchinder,"['fire', 'flying']",Flame Body Gale Wings,62,73,55,56,52,84
#663,Talonflame,"['fire', 'flying']",Flame Body Gale Wings,78,81,71,74,69,126
#664,Scatterbug,['bug'],Shield Dust Compoundeyes Friend Guard,38,35,40,27,25,35
#665,Spewpa,['bug'],Shed Skin Friend Guard,45,22,60,27,30,29
#666,Vivillon,"['bug', 'flying']",Shield Dust Compoundeyes Friend Guard,80,52,50,90,50,89
#667,Litleo,"['fire', 'normal']",Rivalry Unnerve Moxie,62,50,58,73,54,72
#668,Pyroar,"['fire', 'normal']",Rivalry Unnerve Moxie,86,68,72,109,66,106
#669,Flabébé,['fairy'],Flower Veil Symbiosis,44,38,39,61,79,42
#670,Floette,['fairy'],Flower Veil Symbiosis,54,45,47,75,98,52
#671,Florges,['fairy'],Flower Veil Symbiosis,78,65,68,112,154,75
#672,Skiddo,['grass'],Sap Sipper Grass Pelt,66,65,48,62,57,52
#673,Gogoat,['grass'],Sap Sipper Grass Pelt,123,100,62,97,81,68
#674,Pancham,['fighting'],Iron Fist Mold Breaker Scrappy,67,82,62,46,48,43
#675,Pangoro,"['fighting', 'dark']",Iron Fist Mold Breaker Scrappy,95,124,78,69,71,58
#676,Furfrou,['normal'],Fur Coat ,75,80,60,65,90,102
#677,Espurr,['psychic'],Keen Eye Infiltrator Own Tempo,62,48,54,63,60,68
#678,Meowstic,['psychic'],Keen Eye Infiltrator Prankster,74,48,76,83,81,104
#679,Honedge,"['steel', 'ghost']",No Guard ,45,80,100,35,37,28
#680,Doublade,"['steel', 'ghost']",No Guard ,59,110,150,45,49,35
#681,Aegislash,"['steel', 'ghost']",Stance Change ,60,50,140,50,140,60
#682,Spritzee,['fairy'],Healer Aroma Veil,78,52,60,63,65,23
#683,Aromatisse,['fairy'],Healer Aroma Veil,101,72,72,99,89,29
#684,Swirlix,['fairy'],Sweet Veil Unburden,62,48,66,59,57,49
#685,Slurpuff,['fairy'],Sweet Veil Unburden,82,80,86,85,75,72
#686,Inkay,"['dark', 'psychic']",Contrary Suction Cups Infiltrator,53,54,53,37,46,45
#687,Malamar,"['dark', 'psychic']",Contrary Suction Cups Infiltrator,86,92,88,68,75,73
#688,Binacle,"['rock', 'water']",Tough Claws Sniper Pickpocket,42,52,67,39,56,50
#689,Barbaracle,"['rock', 'water']",Tough Claws Sniper Pickpocket,72,105,115,54,86,68
#690,Skrelp,"['poison', 'water']",Poison Point Poison Touch Adaptability,50,60,60,60,60,30
#691,Dragalge,"['poison', 'dragon']",Poison Point Poison Touch Adaptability,65,75,90,97,123,44
#692,Clauncher,['water'],Mega Launcher ,50,53,62,58,63,44
#693,Clawitzer,['water'],Mega Launcher ,71,73,88,120,89,59
#694,Helioptile,"['electric', 'normal']",Dry Skin Sand Veil Solar Power,44,38,33,61,43,70
#695,Heliolisk,"['electric', 'normal']",Dry Skin Sand Veil Solar Power,62,55,52,109,94,109
#696,Tyrunt,"['rock', 'dragon']",Strong Jaw Sturdy,58,89,77,45,45,48
#697,Tyrantrum,"['rock', 'dragon']",Strong Jaw Rock Head,82,121,119,69,59,71
#698,Amaura,"['rock', 'ice ']",Refrigerate Snow Warning,77,59,50,67,63,46
#699,Aurorus,"['rock', 'ice ']",Refrigerate Snow Warning,123,77,72,99,92,58
#700,Sylveon,['fairy'],Cute Charm Pixilate,95,65,65,110,130,60
#701,Hawlucha,"['fighting', 'flying']",Limber Unburden Mold Breaker,78,92,75,74,63,118
#702,Dedenne,"['electric', 'fairy']",Cheek Pouch Pickup Plus,67,58,57,81,67,101
#703,Carbink,"['rock', 'fairy']",Clear Body Sturdy,50,50,150,50,150,50
#704,Goomy,['dragon'],Sap Sipper Hydration Gooey,45,50,35,55,75,40
#705,Sliggoo,['dragon'],Sap Sipper Hydration Gooey,68,75,53,83,113,60
#706,Goodra,['dragon'],Sap Sipper Hydration Gooey,90,100,70,110,150,80
#707,Klefki,"['steel', 'fairy']",Prankster Magician,57,80,91,80,87,75
#708,Phantump,"['ghost', 'grass']",Natural Cure Frisk Harvest,43,70,48,50,60,38
#709,Trevenant,"['ghost', 'grass']",Natural Cure Frisk Harvest,85,110,76,65,82,56
#710,Pumpkaboo,"['ghost', 'grass']",Pickup Frisk Insomnia,49,66,70,44,55,51
#711,Gourgeist,"['ghost', 'grass']",Pickup Frisk Insomnia,65,90,122,58,75,84
#712,Bergmite,['ice '],Own Tempo Ice Body Sturdy,55,69,85,32,35,28
#713,Avalugg,['ice '],Own Tempo Ice Body Sturdy,95,117,184,44,46,28
#714,Noibat,"['flying', 'dragon']",Frisk Infiltrator Telepathy,40,30,35,45,40,55
#715,Noivern,"['flying', 'dragon']",Frisk Infiltrator Telepathy,85,70,80,97,80,123
#716,Xerneas,['fairy'],Fairy Aura ,126,131,95,131,98,99
#717,Yveltal,"['dark', 'flying']",Dark Aura ,126,131,95,131,98,99
#718,Zygarde,"['dragon', 'ground']",Aura Break ,108,100,121,81,95,95
#719,Diancie,"['rock', 'fairy']",Clear Body ,50,100,150,100,150,50
#720,Hoopa,"['psychic', 'ghost']",Magician ,80,110,60,150,130,70
#721,Volcanion,"['fire', 'water']",Water Absorb ,80,110,120,130,90,70
#722,Rowlet,"['grass', 'flying']",Overgrow Long Reach,68,55,55,50,50,42
#723,Dartrix,"['grass', 'flying']",Overgrow Long Reach,78,75,75,70,70,52
#724,Decidueye,"['grass', 'ghost']",Overgrow Long Reach,78,107,75,100,100,70
#725,Litten,['fire'],Blaze Intimidate,45,65,40,60,40,70
#726,Torracat,['fire'],Blaze Intimidate,65,85,50,80,50,90
#727,Incineroar,"['fire', 'dark']",Blaze Intimidate,95,115,90,80,90,60
#728,Popplio,['water'],Torrent Liquid Voice,50,54,54,66,56,40
#729,Brionne,['water'],Torrent Liquid Voice,60,69,69,91,81,50
#730,Primarina,"['water', 'fairy']",Torrent Liquid Voice,80,74,74,126,116,60
#731,Pikipek,"['normal', 'flying']",Keen Eye Skill Link Pickup,35,75,30,30,30,65
#732,Trumbeak,"['normal', 'flying']",Keen Eye Skill Link Pickup,55,85,50,40,50,75
#733,Toucannon,"['normal', 'flying']",Keen Eye Skill Link Sheer Force,80,120,75,75,75,60
#734,Yungoos,['normal'],Stakeout Strong Jaw Adaptability,48,70,30,30,30,45
#735,Gumshoos,['normal'],Stakeout Strong Jaw Adaptability,88,110,60,55,60,45
#736,Grubbin,['bug'],Swarm ,47,62,45,55,45,46
#737,Charjabug,"['bug', 'electric']",Battery ,57,82,95,55,75,36
#738,Vikavolt,"['bug', 'electric']",Levitate ,77,70,90,145,75,43
#739,Crabrawler,['fighting'],Hyper Cutter Iron Fist Anger Point,47,82,57,42,47,63
#740,Crabominable,"['fighting', 'ice ']",Hyper Cutter Iron Fist Anger Point,97,132,77,62,67,43
#741,Oricorio,"['fire', 'flying']",Dancer ,75,70,70,98,70,93
#742,Cutiefly,"['bug', 'fairy']",Honey Gather Shield Dust Sweet Veil,40,45,40,55,40,84
#743,Ribombee,"['bug', 'fairy']",Honey Gather Shield Dust Sweet Veil,60,55,60,95,70,124
#744,Rockruff,['rock'],Keen Eye Vital Spirit Steadfast,45,65,40,30,40,60
#745,Lycanroc,['rock'],Keen Eye Sand Rush Steadfast,75,115,65,55,65,112
#746,Wishiwashi,['water'],Schooling ,45,20,20,25,25,40
#747,Mareanie,"['poison', 'water']",Merciless Limber Regenerator,50,53,62,43,52,45
#748,Toxapex,"['poison', 'water']",Merciless Limber Regenerator,50,63,152,53,142,35
#749,Mudbray,['ground'],Own Tempo Stamina Inner Focus,70,100,70,45,55,45
#750,Mudsdale,['ground'],Own Tempo Stamina Inner Focus,100,125,100,55,85,35
#751,Dewpider,"['water', 'bug']",Water Bubble Water Absorb,38,40,52,40,72,27
#752,Araquanid,"['water', 'bug']",Water Bubble Water Absorb,68,70,92,50,132,42
#753,Fomantis,['grass'],Leaf Guard Contrary,40,55,35,50,35,35
#754,Lurantis,['grass'],Leaf Guard Contrary,70,105,90,80,90,45
#755,Morelull,"['grass', 'fairy']",Illuminate Effect Spore Rain Dish,40,35,55,65,75,15
#756,Shiinotic,"['grass', 'fairy']",Illuminate Effect Spore Rain Dish,60,45,80,90,100,30
#757,Salandit,"['poison', 'fire']",Corrosion Oblivious,48,44,40,71,40,77
#758,Salazzle,"['poison', 'fire']",Corrosion Oblivious,68,64,60,111,60,117
#759,Stufful,"['normal', 'fighting']",Fluffy Klutz Cute Charm,70,75,50,45,50,50
#760,Bewear,"['normal', 'fighting']",Fluffy Klutz Unnerve,120,125,80,55,60,60
#761,Bounsweet,['grass'],Leaf Guard Oblivious Sweet Veil,42,30,38,30,38,32
#762,Steenee,['grass'],Leaf Guard Oblivious Sweet Veil,52,40,48,40,48,62
#763,Tsareena,['grass'],Leaf Guard Queenly Majesty Sweet Veil,72,120,98,50,98,72
#764,Comfey,['fairy'],Flower Veil Triage Natural Cure,51,52,90,82,110,100
#765,Oranguru,"['normal', 'psychic']",Inner Focus Telepathy Symbiosis,90,60,80,90,110,60
#766,Passimian,['fighting'],Receiver Defiant,100,120,90,40,60,80
#767,Wimpod,"['bug', 'water']",Wimp Out ,25,35,40,20,30,80
#768,Golisopod,"['bug', 'water']",Emergency Exit ,75,125,140,60,90,40
#769,Sandygast,"['ghost', 'ground']",Water Compaction Sand Veil,55,55,80,70,45,15
#770,Palossand,"['ghost', 'ground']",Water Compaction Sand Veil,85,75,110,100,75,35
#771,Pyukumuku,['water'],Innards Out Unaware,55,60,130,30,130,5
#772,Type: Null,['normal'],Battle Armor ,95,95,95,95,95,59
#773,Silvally,['normal'],RKS System ,95,95,95,95,95,95
#774,Minior,"['rock', 'flying']",Shields Down ,60,60,100,60,100,60
#775,Komala,['normal'],Comatose ,65,115,65,75,95,65
#776,Turtonator,"['fire', 'dragon']",Shell Armor ,60,78,135,91,85,36
#777,Togedemaru,"['electric', 'steel']",Iron Barbs Lightning Rod Sturdy,65,98,63,40,73,96
#778,Mimikyu,"['ghost', 'fairy']",Disguise ,55,90,80,50,105,96
#779,Bruxish,"['water', 'psychic']",Dazzling Strong Jaw Wonder Skin ,68,105,70,70,70,92
#780,Drampa,"['normal', 'dragon']",Berserk Sap Sipper Cloud Nine,78,60,85,135,91,36
#781,Dhelmise,"['ghost', 'grass']",Steelworker ,70,131,100,86,90,40
#782,Jangmo-o,['dragon'],Bulletproof Soundproof Overcoat,45,55,65,45,45,45
#783,Hakamo-o,"['dragon', 'fighting']",Bulletproof Soundproof Overcoat,55,75,90,65,70,65
#784,Kommo-o,"['dragon', 'fighting']",Bulletproof Soundproof Overcoat,75,110,125,100,105,85
#785,Tapu Koko,"['electric', 'fairy']",Electric Surge Telepathy,70,115,85,95,75,130
#786,Tapu Lele,"['psychic', 'fairy']",Psychic Surge Telepathy,70,85,75,130,115,95
#787,Tapu Bulu,"['grass', 'fairy']",Grassy Surge Telepathy,70,130,115,85,95,75
#788,Tapu Fini,"['water', 'fairy']",Misty Surge Telepathy,70,75,115,95,130,85
#789,Cosmog,['psychic'],Unaware ,43,29,31,29,31,37
#790,Cosmoem,['psychic'],Sturdy ,43,29,131,29,131,37
#791,Solgaleo,"['psychic', 'steel']",Full Metal Body ,137,137,107,113,89,97
#792,Lunala,"['psychic', 'ghost']",Shadow Shield ,137,113,89,137,107,97
#793,Nihilego,"['rock', 'poison']",Beast Boost ,109,53,47,127,131,103
#794,Buzzwole,"['bug', 'fighting']",Beast Boost ,107,139,139,53,53,79
#795,Pheromosa,"['bug', 'fighting']",Beast Boost ,71,137,37,137,37,151
#796,Xurkitree,['electric'],Beast Boost ,83,89,71,173,71,83
#797,Celesteela,"['steel', 'flying']",Beast Boost ,97,101,103,107,101,61
#798,Kartana,"['grass', 'steel']",Beast Boost ,59,181,131,59,31,109
#799,Guzzlord,"['dark', 'dragon']",Beast Boost ,223,101,53,97,53,43
#800,Necrozma,['psychic'],Prism Armor ,97,107,101,127,89,79
#801,Magearna,"['steel', 'fairy']",Soul-Heart ,80,95,115,130,115,65
#802,Marshadow,"['fighting', 'ghost']",Technician ,90,125,80,90,90,125
#803,Poipole,['poison'],Beast Boost ,67,73,67,73,67,73
#804,Naganadel,"['poison', 'dragon']",Beast Boost ,73,73,73,127,73,127
#805,Stakataka,"['rock', 'steel']",Beast Boost ,61,131,211,53,101,13
#806,Blacephalon,"['fire', 'ghost']",Beast Boost ,53,127,53,151,79,107
#807,Zeraora,['electric'],Volt Absorb ,88,112,75,102,80,143
#808,Meltan,['steel'],Magnet Pull ,46,65,65,55,35,34
#809,Melmetal,['steel'],Iron Fist ,135,143,143,80,65,34
#810,Grookey,['grass'],Overgrow Grassy Surge,50,65,50,40,40,65
#811,Thwackey,['grass'],Overgrow Grassy Surge,70,85,70,55,60,80
#812,Rillaboom,['grass'],Overgrow Grassy Surge,100,125,90,60,70,85
#813,Scorbunny,['fire'],Blaze Libero,50,71,40,40,40,69
#814,Raboot,['fire'],Blaze Libero,65,86,60,55,60,94
#815,Cinderace,['fire'],Blaze Libero,80,116,75,65,75,119
#816,Sobble,['water'],Torrent Sniper,50,40,40,70,40,70
#817,Drizzile,['water'],Torrent Sniper,65,60,55,95,55,90
#818,Inteleon,['water'],Torrent Sniper,70,85,65,125,65,120
#819,Skwovet,['normal'],Cheek Pouch Gluttony,70,55,55,35,35,25
#820,Greedent,['normal'],Cheek Pouch Gluttony,120,95,95,55,75,20
#821,Rookidee,['flying'],Keen Eye Unnerve Big Pecks,38,47,35,33,35,57
#822,Corvisquire,['flying'],Keen Eye Unnerve Big Pecks,68,67,55,43,55,77
#823,Corviknight,"['flying', 'steel']",Pressure Unnerve Mirror Armor,98,87,105,53,85,67
#824,Blipbug,['bug'],Swarm Compoundeyes Telepathy,25,20,20,25,45,45
#825,Dottler,"['bug', 'psychic']",Swarm Compoundeyes Telepathy,50,35,80,50,90,30
#826,Orbeetle,"['bug', 'psychic']",Swarm Frisk Telepathy,60,45,110,80,120,90
#827,Nickit,['dark'],Run Away Unburden Stakeout,40,28,28,47,52,50
#828,Thievul,['dark'],Run Away Unburden Stakeout,70,58,58,87,92,90
#829,Gossifleur,['grass'],Cotton Down Regenerator Effect Spore,40,40,60,40,60,10
#830,Eldegoss,['grass'],Cotton Down Regenerator Effect Spore,60,50,90,80,120,60
#831,Wooloo,['normal'],Fluffy Run Away Bulletproof,42,40,55,40,45,48
#832,Dubwool,['normal'],Fluffy Steadfast Bulletproof,72,80,100,60,90,88
#833,Chewtle,['water'],Strong Jaw Shell Armor Swift Swim,50,64,50,38,38,44
#834,Drednaw,"['water', 'rock']",Strong Jaw Shell Armor Swift Swim,90,115,90,48,68,74
#835,Yamper,['electric'],Ball Fetch Rattled,59,45,50,40,50,26
#836,Boltund,['electric'],Strong Jaw Competitive,69,90,60,90,60,121
#837,Rolycoly,['rock'],Steam Engine Heatproof Flash Fire,30,40,50,40,50,30
#838,Carkol,"['rock', 'fire']",Steam Engine Flame Body Flash Fire,80,60,90,60,70,50
#839,Coalossal,"['rock', 'fire']",Steam Engine Flame Body Flash Fire,110,80,120,80,90,30
#840,Applin,"['grass', 'dragon']",Ripen Gluttony Bulletproof,40,40,80,40,40,20
#841,Flapple,"['grass', 'dragon']",Ripen Gluttony Hustle,70,110,80,95,60,70
#842,Appletun,"['grass', 'dragon']",Ripen Gluttony Thick Fat,110,85,80,100,80,30
#843,Silicobra,['ground'],Sand Spit Shed Skin Sand Veil,52,57,75,35,50,46
#844,Sandaconda,['ground'],Sand Spit Shed Skin Sand Veil,72,107,125,65,70,71
#845,Cramorant,"['flying', 'water']",Gulp Missile ,70,85,55,85,95,85
#846,Arrokuda,['water'],Swift Swim Propeller Tail,41,63,40,40,30,66
#847,Barraskewda,['water'],Swift Swim Propeller Tail,61,123,60,60,50,136
#848,Toxel,"['electric', 'poison']",Rattled Static Klutz,40,38,35,54,35,40
#849,Toxtricity,"['electric', 'poison']",Punk Rock Plus Technician,75,98,70,114,70,75
#850,Sizzlipede,"['fire', 'bug']",Flash Fire White Smoke Flame Body,50,65,45,50,50,45
#851,Centiskorch,"['fire', 'bug']",Flash Fire White Smoke Flame Body,100,115,65,90,90,65
#852,Clobbopus,['fighting'],Limber Technician,50,68,60,50,50,32
#853,Grapploct,['fighting'],Limber Technician,80,118,90,70,80,42
#854,Sinistea,['ghost'],Weak Armor Cursed Body,40,45,45,74,54,50
#855,Polteageist,['ghost'],Weak Armor Cursed Body,60,65,65,134,114,70
#856,Hatenna,['psychic'],Healer Anticipation Magic Bounce,42,30,45,56,53,39
#857,Hattrem,['psychic'],Healer Anticipation Magic Bounce,57,40,65,86,73,49
#858,Hatterene,"['psychic', 'fairy']",Healer Anticipation Magic Bounce,57,90,95,136,103,29
#859,Impidimp,"['dark', 'fairy']",Prankster Frisk Pickpocket,45,45,30,55,40,50
#860,Morgrem,"['dark', 'fairy']",Prankster Frisk Pickpocket,65,60,45,75,55,70
#861,Grimmsnarl,"['dark', 'fairy']",Prankster Frisk Pickpocket,95,120,65,95,75,60
#862,Obstagoon,"['dark', 'normal']",Reckless Guts Defiant,93,90,101,60,81,95
#863,Perrserker,['steel'],Battle Armor Tough Claws Steely Spirit,70,110,100,50,60,50
#864,Cursola,['ghost'],Weak Armor Perish Body,60,95,50,145,130,30
#865,Sirfetch'd,['fighting'],Steadfast Scrappy,62,135,95,68,82,65
#866,Mr. Rime,"['ice ', 'psychic']",Tangled Feet Screen Cleaner Ice Body,80,85,75,110,100,70
#867,Runerigus,"['ground', 'ghost']",Wandering Spirit ,58,95,145,50,105,30
#868,Milcery,['fairy'],Sweet Veil Aroma Veil,45,40,40,50,61,34
#869,Alcremie,['fairy'],Sweet Veil Aroma Veil,65,60,75,110,121,64
#870,Falinks,['fighting'],Battle Armor Defiant,65,100,100,70,60,75
#871,Pincurchin,['electric'],Lightning Rod Electric Surge,48,101,95,91,85,15
#872,Snom,"['ice ', 'bug']",Shield Dust Ice Scales,30,25,35,45,30,20
#873,Frosmoth,"['ice ', 'bug']",Shield Dust Ice Scales,70,65,60,125,90,65
#874,Stonjourner,['rock'],Power Spot ,100,125,135,20,20,70
#875,Eiscue,['ice '],Ice Face ,75,80,110,65,90,50
#876,Indeedee,"['psychic', 'normal']",Inner Focus Synchronize Psychic Surge,60,65,55,105,95,95
#877,Morpeko,"['electric', 'dark']",Hunger Switch ,58,95,58,70,58,97
#878,Cufant,['steel'],Sheer Force Heavy Metal,72,80,49,40,49,40
#879,Copperajah,['steel'],Sheer Force Heavy Metal,122,130,69,80,69,30
#880,Dracozolt,"['electric', 'dragon']",Volt Absorb Hustle Sand Rush,90,100,90,80,70,75
#881,Arctozolt,"['electric', 'ice ']",Volt Absorb Static Slush Rush,90,100,90,90,80,55
#882,Dracovish,"['water', 'dragon']",Water Absorb Strong Jaw Sand Rush,90,90,100,70,80,75
#883,Arctovish,"['water', 'ice ']",Water Absorb Ice Body Slush Rush,90,90,100,80,90,55
#884,Duraludon,"['steel', 'dragon']",Light Metal Heavy Metal Stalwart,70,95,115,120,50,85
#885,Dreepy,"['dragon', 'ghost']",Clear Body Infiltrator Cursed Body,28,60,30,40,30,82
#886,Drakloak,"['dragon', 'ghost']",Clear Body Infiltrator Cursed Body,68,80,50,60,50,102
#887,Dragapult,"['dragon', 'ghost']",Clear Body Infiltrator Cursed Body,88,120,75,100,75,142
#888,Zacian,['fairy'],Intrepid Sword ,92,130,115,80,115,138
#889,Zamazenta,['fighting'],Dauntless Shield ,92,130,115,80,115,138
#890,Eternatus,"['poison', 'dragon']",Pressure ,140,85,95,145,95,130
