name,type,catagory,power,accuracy,pp,TM number,effect,effect probability
Solar Blade,Grass,physical,125,100,10,TM12,"Charges on first turn, attacks on second.",none
Sonic Boom,Normal,special,none,90,20,none,Always inflicts 20 HP.,none
Soul-Stealing 7-Star Strike,Ghost,physical,195,none,1,none,Marshadow-exclusive Z-Move.,none
Spacial Rend,Dragon,special,100,95,5,none,High critical hit ratio.,none
Spark,Electric,physical,65,100,20,none,May paralyze opponent.,30
Sparkling Aria,Water,special,90,100,10,none,Heals the burns of its target.,none
Sparkly Swirl,Fairy,special,90,100,15,none,Cures all status problems in the party Pokémon.,none
Spectral Thief,Ghost,physical,90,100,10,none,"The user hides in the target's shadow, steals the target's stat boosts, and then attacks.",none
Speed Swap,Psychic,status,none,none,10,TM62,The user exchanges Speed stats with the target.,none
Spider Web,Bug,status,none,none,10,none,Opponent cannot escape/switch.,none
Spike Cannon,Normal,physical,20,100,15,none,Hits 2-5 times in one turn.,none
Spikes,Ground,status,none,none,20,none,Hurts opponents when they switch into battle.,none
Spiky Shield,Grass,status,none,none,10,none,Protects the user and inflicts damage on contact.,none
Spirit Break,Fairy,physical,75,100,15,none,Lowers opponent's Special Attack.,100
Spirit Shackle,Ghost,physical,80,100,10,none,Prevents the opponent from switching out.,none
Spit Up,Normal,special,none,100,10,none,Power depends on how many times the user performed Stockpile.,none
Spite,Ghost,status,none,100,10,none,The opponent's last move loses 2-5 PP.,none
Splash,Normal,status,none,none,40,none,Doesn't do ANYTHING.,none
Splintered Stormshards,Rock,physical,190,none,1,none,Lycanroc-exclusive Z-Move.,none
Splishy Splash,Water,special,90,100,15,none,May paralyze opponent.,30
Spore,Grass,status,none,100,15,none,Puts opponent to sleep.,none
Spotlight,Normal,status,none,none,15,none,The user shines a spotlight on the target so that only the target will be attacked during the turn.,none
Stealth Rock,Rock,status,none,none,20,none,Damages opponent switching into battle.,none
Steam Eruption,Water,special,110,95,5,none,May burn opponent.,30
Steamroller,Bug,physical,65,100,20,none,May cause flinching.,30
Steel Beam,Steel,special,140,95,5,none,User loses 50% of its HP.,none
Steel Roller,Steel,physical,130,100,5,none,Fails if no Terrain in effect.,none
Steel Wing,Steel,physical,70,90,25,TM30,May raise user's Defense.,10
Sticky Web,Bug,status,none,none,20,none,Lowers opponent's Speed when switching into battle.,none
Stockpile,Normal,status,none,none,20,none,Stores energy for use with Spit Up and Swallow.,none
Stoked Sparksurfer,Electric,special,175,none,1,none,Alolan Raichu-exclusive Electric type Z-Move.,100
Stomp,Normal,physical,65,100,20,none,May cause flinching.,30
Stomping Tantrum,Ground,physical,75,100,10,TM98,"Driven by frustration, the user attacks the target. If the user's previous move has failed, the power of this move doubles.",none
Stone Edge,Rock,physical,100,80,5,none,High critical hit ratio.,none
Stored Power,Psychic,special,20,100,10,none,Power increases when user's stats have been raised.,none
Storm Throw,Fighting,physical,60,100,10,none,Always results in a critical hit.,100
Strange Steam,Fairy,special,90,95,10,none,May confuse opponent.,20
Strength,Normal,physical,80,100,15,none,none,none
Strength Sap,Grass,status,none,100,10,none,The user restores its HP by the same amount as the target's Attack stat. It also lowers the target's Attack stat.,100
String Shot,Bug,status,none,95,40,none,Sharply lowers opponent's Speed.,none
Struggle,Normal,physical,50,none,none,none,Only usable when all PP are gone. Hurts the user.,none
Struggle Bug,Bug,special,50,100,20,none,Lowers opponent's Special Attack.,100
Stuff Cheeks,Normal,status,none,none,10,none,"The user eats its held Berry, then sharply raises its Defense stat.",100
Stun Spore,Grass,status,none,75,30,none,Paralyzes opponent.,none
Submission,Fighting,physical,80,80,20,none,User receives recoil damage.,none
Substitute,Normal,status,none,none,10,none,Uses HP to creates a decoy that takes hits.,none
Subzero Slammer,Ice,none,none,none,1,none,Ice type Z-Move.,none
Sucker Punch,Dark,physical,70,100,5,none,"User attacks first, but only works if opponent is readying an attack.",none
Sunny Day,Fire,status,none,none,5,TM34,Makes it sunny for 5 turns.,none
Sunsteel Strike,Steel,physical,100,100,5,none,Ignores the target's ability.,none
Super Fang,Normal,physical,none,90,10,none,Always takes off half of the opponent's HP.,none
Superpower,Fighting,physical,120,100,5,none,Lowers user's Attack and Defense.,100
Supersonic,Normal,status,none,55,20,none,Confuses opponent.,none
Supersonic Skystrike,Flying,none,none,none,1,none,Flying type Z-Move.,none
Surf,Water,special,90,100,15,none,Hits all adjacent Pokémon.,none
Surging Strikes,Water,physical,25,100,5,none,Always results in a critical hit and ignores stat changes.,none
Swagger,Normal,status,none,85,15,none,"Opponent becomes confused, but its Attack is sharply raised.",none
Swallow,Normal,status,none,none,10,none,"The more times the user has performed Stockpile, the more HP is recovered.",none
Sweet Kiss,Fairy,status,none,75,10,none,Confuses opponent.,none
Sweet Scent,Normal,status,none,100,20,none,Lowers opponent's Evasiveness.,none
Swift,Normal,special,60,∞,20,TM40,Ignores Accuracy and Evasiveness.,none
Switcheroo,Dark,status,none,100,10,none,Swaps held items with the opponent.,none
Swords Dance,Normal,status,none,none,20,none,Sharply raises user's Attack.,none
Synchronoise,Psychic,special,120,100,10,none,Hits any Pokémon that shares a type with the user.,none
Synthesis,Grass,status,none,none,5,none,User recovers HP. Amount varies with the weather.,none
Tackle,Normal,physical,40,100,35,none,none,none
Tail Glow,Bug,status,none,none,20,none,Drastically raises user's Special Attack.,none
Tail Slap,Normal,physical,25,85,10,TM84,Hits 2-5 times in one turn.,none
Tail Whip,Normal,status,none,100,30,none,Lowers opponent's Defense.,none
Tailwind,Flying,status,none,none,15,none,Doubles Speed for 4 turns.,none
Take Down,Normal,physical,90,85,20,none,User receives recoil damage.,none
Tar Shot,Rock,status,none,100,15,none,Lowers the opponent's Speed and makes them weaker to Fire-type moves.,100
Taunt,Dark,status,none,100,20,none,Opponent can only use moves that attack.,none
Tearful Look,Normal,status,none,none,20,none,The user gets teary eyed to make the target lose its combative spirit. This lowers the target's Attack and Sp. Atk stats.,100
Teatime,Normal,status,none,none,10,none,Forces all Pokémon on the field to eat their berries.,none
Techno Blast,Normal,special,120,100,5,none,Type depends on the Drive being held.,none
Tectonic Rage,Ground,none,none,none,1,none,Ground type Z-Move.,none
Teeter Dance,Normal,status,none,100,20,none,Confuses all Pokémon.,none
Telekinesis,Psychic,status,none,none,15,none,"Ignores opponent's Evasiveness for three turns, add Ground immunity.",none
Teleport,Psychic,status,none,none,20,none,Allows user to flee wild battles; also warps player to last PokéCenter.,none
Terrain Pulse,Normal,special,50,100,10,none,Type and power change depending on the Terrain in effect.,none
Thief,Dark,physical,60,100,25,TM23,Also steals opponent's held item.,none
Thousand Arrows,Ground,physical,90,100,10,none,Makes Flying-type Pokémon vulnerable to Ground moves.,none
Thousand Waves,Ground,physical,90,100,10,none,Opponent cannot flee or switch.,none
Thrash,Normal,physical,120,100,10,none,User attacks for 2-3 turns but then becomes confused.,none
Throat Chop,Dark,physical,80,100,15,none,Prevents use of sound moves for two turns.,100
Thunder,Electric,special,110,70,10,none,May paralyze opponent.,30
Thunder Cage,Electric,special,80,90,15,none,"Deals damage and traps opponent, damaging them for 4-5 turns.",none
Thunder Fang,Electric,physical,65,95,15,TM66,May cause flinching and/or paralyze opponent.,10
Thunder Punch,Electric,physical,75,100,15,TM05,May paralyze opponent.,10
Thunder Shock,Electric,special,40,100,30,none,May paralyze opponent.,10
Thunder Wave,Electric,status,none,90,20,TM14,Paralyzes opponent.,none
Thunderbolt,Electric,special,90,100,15,none,May paralyze opponent.,10
Thunderous Kick,Fighting,physical,90,100,10,none,Lowers opponent's Defense.,100
Tickle,Normal,status,none,100,20,none,Lowers opponent's Attack and Defense.,none
Topsy-Turvy,Dark,status,none,none,20,none,Reverses stat changes of opponent.,none
Torment,Dark,status,none,100,15,none,Opponent cannot use the same move in a row.,none
Toxic,Poison,status,none,90,10,none,Badly poisons opponent.,none
Toxic Spikes,Poison,status,none,none,20,none,Poisons opponents when they switch into battle.,none
Toxic Thread,Poison,status,none,100,20,none,Lowers target's Speed.,100
Transform,Normal,status,none,none,10,none,User takes on the form and attacks of the opponent.,none
Tri Attack,Normal,special,80,100,10,none,"May paralyze, burn or freeze opponent.",20
Trick,Psychic,status,none,100,10,none,Swaps held items with the opponent.,none
Trick Room,Psychic,status,none,none,5,TM70,Slower Pokémon move first in the turn for 5 turns.,none
Trick-or-Treat,Ghost,status,none,100,20,none,Adds Ghost type to opponent.,none
Triple Axel,Ice,physical,20,90,10,none,Attacks thrice with more power each time.,none
Triple Kick,Fighting,physical,10,90,10,none,Hits thrice in one turn at increasing power.,none
Trop Kick,Grass,physical,70,100,15,none,Lowers opponent's Attack.,100
Trump Card,Normal,special,none,∞,5,none,"The lower the PP, the higher the power.",none
Twineedle,Bug,physical,25,100,20,none,Hits twice in one turn. May poison opponent.,20
Twinkle Tackle,Fairy,none,none,none,1,none,Fairy type Z-Move.,none
Twister,Dragon,special,40,100,20,none,May cause flinching. Hits Pokémon using Fly/Bounce with double power.,20
U-turn,Bug,physical,70,100,20,TM56,User switches out immediately after attacking.,none
Uproar,Normal,special,90,100,10,none,User attacks for 3 turns and prevents sleep.,none
V-create,Fire,physical,180,95,5,none,"Lowers user's Defense, Special Defense and Speed.",100
Vacuum Wave,Fighting,special,40,100,30,none,User attacks first.,none
Veevee Volley,Normal,physical,none,∞,20,none,Power increases when player's bond is stronger.,none
Venom Drench,Poison,status,none,100,20,none,Lowers poisoned opponent's Special Attack and Speed.,100
Venoshock,Poison,special,65,100,10,TM74,Inflicts double damage if the target is poisoned.,none
Vine Whip,Grass,physical,45,100,25,none,none,none
Vise Grip,Normal,physical,55,100,30,none,none,none
Vital Throw,Fighting,physical,70,∞,10,none,"User attacks last, but ignores Accuracy and Evasiveness.",none
Volt Switch,Electric,special,70,100,20,TM80,User must switch out after attacking.,none
Volt Tackle,Electric,physical,120,100,15,none,User receives recoil damage. May paralyze opponent.,10
Wake-Up Slap,Fighting,physical,70,100,10,none,"Power doubles if opponent is asleep, but wakes it up.",none
Water Gun,Water,special,40,100,25,none,none,none
Water Pledge,Water,special,80,100,10,none,Added effects appear if preceded by Fire Pledge or succeeded by Grass Pledge.,none
Water Pulse,Water,special,60,100,20,none,May confuse opponent.,20
Water Shuriken,Water,special,15,100,20,none,Hits 2-5 times in one turn.,none
Water Sport,Water,status,none,none,15,none,Weakens the power of Fire-type moves.,none
Water Spout,Water,special,150,100,5,none,"The higher the user's HP, the higher the damage caused.",none
Waterfall,Water,physical,80,100,15,none,May cause flinching.,20
Weather Ball,Normal,special,50,100,10,TM46,Move's power and type changes with the weather.,none
Whirlpool,Water,special,35,85,15,TM36,"Traps opponent, damaging them for 4-5 turns.",100
Whirlwind,Normal,status,none,none,20,none,"In battles, the opponent switches. In the wild, the Pokémon runs.",none
Wicked Blow,Dark,physical,80,100,5,none,Always results in a critical hit and ignores stat changes.,none
Wide Guard,Rock,status,none,none,10,none,Protects the user's team from multi-target attacks.,none
Wild Charge,Electric,physical,90,100,15,none,User receives recoil damage.,none
Will-O-Wisp,Fire,status,none,85,15,TM38,Burns opponent.,none
Wing Attack,Flying,physical,60,100,35,none,none,none
Wish,Normal,status,none,none,10,none,The user recovers HP in the following turn.,none
Withdraw,Water,status,none,none,40,none,Raises user's Defense.,none
Wonder Room,Psychic,status,none,none,10,TM71,Swaps every Pokémon's Defense and Special Defense for 5 turns.,none
Wood Hammer,Grass,physical,120,100,15,none,User receives recoil damage.,none
Work Up,Normal,status,none,none,30,none,Raises user's Attack and Special Attack.,none
Worry Seed,Grass,status,none,100,10,none,Changes the opponent's Ability to Insomnia.,none
Wrap,Normal,physical,15,90,20,none,"Traps opponent, damaging them for 4-5 turns.",100
Wring Out,Normal,special,none,100,5,none,"The higher the opponent's HP, the higher the damage.",none
X-Scissor,Bug,physical,80,100,15,none,none,none
Yawn,Normal,status,none,none,10,none,Puts opponent to sleep in the next turn.,none
Zap Cannon,Electric,special,120,50,5,none,Paralyzes opponent.,100
Zen Headbutt,Psychic,physical,80,90,15,none,May cause flinching.,20
Zing Zap,Electric,physical,80,100,10,none,May cause flinching.,30
Zippy Zap,Electric,physical,50,100,15,none,Always results in a critical hit.,100
